Sample Name,Sample Title,host_sex,age_(days),wieght_(g),family,cage,father,mother,,
Lung_8858,8858,Female,174,35.17,FAM1,C17499,8826,8437,,
Lung_8862,8862,Female,195,29.52,FAM1,C17499,8826,8437,,
Lung_8872,8872,Female,203,26.9,FAM2,C17503,8283,8446,,
Lung_8874,8874,Female,195,26.41,FAM2,C17503,8283,8446,,
Lung_8883,8883,Female,169,41.32,FAM2,C17503,8283,8446,,
Lung_8885,8885,Male,196,41.99,FAM2,C17503,8283,8446,,
Lung_8886,8886,Female,177,35.8,FAM3,C17508,8822,8459,,
Lung_8887,8887,Female,177,34.74,FAM3,C17508,8822,8459,,
Lung_8888,8888,Female,198,33.36,FAM3,C17508,8822,8459,,
Lung_8889,8889,Female,170,35.33,FAM3,C17508,8822,8459,,
Lung_8894,8894,Female,170,30.72,FAM3,C17508,8822,8459,,
Lung_8901,8901,Male,194,43.8,FAM3,C17508,8822,8459,,
Lung_8903,8903,Male,172,32.35,FAM3,C17508,8822,8459,,
Lung_8904,8904,Female,174,29.63,FAM4,C17513,8804,8466,,
Lung_8906,8906,Female,165,30.3,FAM4,C17513,8804,8466,,
Lung_8907,8907,Female,193,27.98,FAM4,C17513,8804,8466,,
Lung_8908,8908,Female,165,24.99,FAM4,C17513,8804,8466,,
Lung_8909,8909,Male,194,33.26,FAM4,C17513,8804,8466,,
Lung_8911,8911,Female,174,36.6,FAM5,C17534,8800,8242,,
Lung_8912,8912,Female,174,35.72,FAM5,C17534,8800,8242,,
Lung_8913,8913,Female,172,29.46,FAM5,C17534,8800,8242,,
Lung_8914,8914,Female,172,31.79,FAM5,C17534,8800,8242,,
Lung_8915,8915,Female,172,34.34,FAM5,C17534,8800,8242,,
Lung_8924,8924,Male,159,32.93,FAM5,C17534,8800,8242,,
Lung_8925,8925,Male,194,40.82,FAM5,C17534,8800,8242,,
Lung_8926,8926,Male,167,38.06,FAM5,C17534,8800,8242,,
Lung_8929,8929,Female,172,30,FAM6,C17538,8781,8484,,
Lung_8931,8931,Female,172,37.82,FAM6,C17538,8781,8484,,
Lung_8948,8948,Male,159,29.12,FAM6,C17538,8781,8484,,
Lung_8949,8949,Male,194,28.86,FAM6,C17538,8781,8484,,
Lung_8950,8950,Female,176,39.33,FAM7,C17541,8759,8495,,
Lung_8951,8951,Female,176,39.51,FAM7,C17541,8759,8495,,
Lung_8952,8952,Female,174,33.03,FAM7,C17541,8759,8495,,
Lung_8953,8953,Female,174,46.72,FAM7,C17541,8759,8495,,
Lung_8954,8954,Male,161,39.37,FAM7,C17541,8759,8495,,
Lung_8955,8955,Male,196,45.29,FAM7,C17541,8759,8495,,
Lung_8962,8962,Female,165,29.95,FAM8,C17544,8741,8831,,
Lung_8964,8964,Female,163,28.45,FAM8,C17544,8741,8831,,
Lung_8965,8965,Female,163,29.15,FAM8,C17544,8741,8831,,
Lung_8966,8966,Female,163,24.52,FAM8,C17544,8741,8831,,
Lung_8967,8967,Male,150,29.41,FAM8,C17544,8741,8831,,
Lung_8968,8968,Male,185,29.13,FAM8,C17544,8741,8831,,
Lung_8969,8969,Male,185,37.88,FAM8,C17544,8741,8831,,
Lung_8970,8970,Female,177,37.27,FAM9,C17547,8734,8511,,
Lung_8971,8971,Female,175,40.17,FAM9,C17547,8734,8511,,
Lung_8972,8972,Female,175,28.14,FAM9,C17547,8734,8511,,
Lung_8973,8973,Female,162,43.04,FAM9,C17547,8734,8511,,
Lung_8974,8974,Male,198,41.08,FAM9,C17547,8734,8511,,
Lung_8976,8976,Female,174,37.48,FAM10,C17550,8714,8526,,
Lung_8977,8977,Female,174,30.16,FAM10,C17550,8714,8526,,
Lung_8978,8978,Female,172,29.73,FAM10,C17550,8714,8526,,
Lung_8979,8979,Female,172,31.05,FAM10,C17550,8714,8526,,
Lung_8991,8991,Male,195,42.59,FAM10,C17550,8714,8526,,
Lung_8992,8992,Male,195,36.78,FAM10,C17550,8714,8526,,
Lung_8994,8994,Female,174,30.59,FAM11,C17554,8696,8242,,
Lung_8995,8995,Female,174,34.14,FAM11,C17554,8696,8242,,
Lung_8996,8996,Female,195,29.19,FAM11,C17554,8696,8242,,
Lung_8997,8997,Female,195,30.09,FAM11,C17554,8696,8242,,
Lung_8998,8998,Female,195,29.4,FAM11,C17554,8696,8242,,
Lung_9000,9000,Male,195,35.83,FAM11,C17558,8696,8242,,
Lung_9001,9001,Male,159,34.71,FAM11,C17558,8696,8242,,
Lung_9014,9014,Female,174,35.67,FAM12,C17558,8666,8249,,
Lung_9015,9015,Male,172,36.75,FAM12,C17558,8666,8249,,
Lung_9018,9018,Female,195,31.04,FAM13,C17700,8653,8269,,
Lung_9019,9019,Female,195,35.56,FAM13,C17700,8653,8269,,
Lung_9021,9021,Male,195,36.01,FAM13,C17700,8653,8269,,
Lung_9031,9031,Female,172,26.17,FAM14,C17704,8645,8279,,
Lung_9034,9034,Male,159,43.19,FAM14,C17704,8645,8279,,
Lung_9037,9037,Female,172,31.57,FAM15,C17708,8853,8301,,
Lung_9038,9038,Male,198,38.11,FAM15,C17708,8853,8301,,
Lung_9040,9040,Male,162,40.48,FAM15,C17708,8853,8301,,
Lung_9044,9044,Female,172,36.67,FAM15,C17708,8853,8301,,
Lung_9059,9059,Female,194,36.24,FAM16,C17713,8624,8310,,
Lung_9060,9060,Female,194,36.41,FAM16,C17713,8624,8310,,
Lung_9061,9061,Female,200,36.62,FAM16,C17713,8624,8310,,
Lung_9063,9063,Female,172,48,FAM16,C17713,8624,8310,,
Lung_9064,9064,Male,172,43.37,FAM16,C17713,8624,8310,,
Lung_9067,9067,Female,174,36.82,FAM17,C17716,8845,8329,,
Lung_9068,9068,Female,174,32.19,FAM17,C17716,8845,8329,,
Lung_9070,9070,Female,173,28.95,FAM17,C17716,8845,8329,,
Lung_9084,9084,Male,173,32.96,FAM17,C17716,8845,8329,,
Lung_9085,9085,Male,159,40.25,FAM17,C17716,8845,8329,,
Lung_9086,9086,Male,165,32.15,FAM17,C17716,8845,8329,,
Lung_9087,9087,Female,141,33.4,FAM18,C17721,8614,8353,,
Lung_9088,9088,Female,141,34.51,FAM18,C17721,8614,8353,,
Lung_9089,9089,Female,173,26.92,FAM18,C17721,8614,8353,,
Lung_9090,9090,Female,173,32.87,FAM18,C17721,8614,8353,,
Lung_9091,9091,Female,173,30.06,FAM18,C17721,8614,8353,,
Lung_9104,9104,Male,162,31.3,FAM18,C17721,8614,8353,,
Lung_9105,9105,Female,174,33.81,FAM19,C17724,8609,8365,,
Lung_9106,9106,Female,174,33.8,FAM19,C17724,8609,8365,,
Lung_9107,9107,Female,173,33.51,FAM19,C17724,8609,8365,,
Lung_9108,9108,Male,173,41.54,FAM19,C17724,8609,8365,,
Lung_9109,9109,Male,173,57.35,FAM19,C17724,8609,8365,,
Lung_9110,9110,Female,177,32.3,FAM20,C17727,8584,8388,,
Lung_9111,9111,Female,177,39.61,FAM20,C17727,8584,8388,,
Lung_9112,9112,Female,195,31.41,FAM20,C17727,8584,8388,,
Lung_9113,9113,Female,195,35.36,FAM20,C17727,8584,8388,,
Lung_9119,9119,Female,174,33.49,FAM21,C17730,8578,8399,,
Lung_9120,9120,Female,174,34.34,FAM21,C17730,8578,8399,,
Lung_9121,9121,Female,195,34.28,FAM21,C17730,8578,8399,,
Lung_9122,9122,Female,195,31.29,FAM21,C17730,8578,8399,,
Lung_9123,9123,Female,195,27.74,FAM21,C17730,8578,8399,,
Lung_9130,9130,Male,173,34.48,FAM21,C17730,8578,8399,,
Lung_9131,9131,Female,176,34.88,FAM22,C17735,8566,8737,,
Lung_9132,9132,Female,176,33.58,FAM22,C17735,8566,8737,,
Lung_9133,9133,Female,167,30.16,FAM22,C17735,8566,8737,,
Lung_9134,9134,Female,175,33.01,FAM22,C17735,8566,8737,,
Lung_9135,9135,Female,167,31.23,FAM22,C17735,8566,8737,,
Lung_9145,9145,Male,169,36.95,FAM22,C17735,8566,8737,,
Lung_9146,9146,Male,197,39.13,FAM22,C17735,8566,8737,,
Lung_9147,9147,Female,174,36.1,FAM23,C17740,8837,8408,,
Lung_9148,9148,Female,174,40.42,FAM23,C17740,8837,8408,,
Lung_9149,9149,Female,167,33.26,FAM23,C17740,8837,8408,,
Lung_9150,9150,Female,175,28.75,FAM23,C17740,8837,8408,,
Lung_9151,9151,Female,167,31,FAM23,C17740,8837,8408,,
Lung_9153,9153,Female,176,30.65,FAM24,C17742,8544,8417,,
Lung_9154,9154,Female,176,29.64,FAM24,C17742,8544,8417,,
Lung_9155,9155,Female,203,35.78,FAM24,C17742,8544,8417,,
Lung_9156,9156,Female,203,35.85,FAM24,C17742,8544,8417,,
Lung_9157,9157,Female,203,33.91,FAM24,C17742,8544,8417,,
Lung_9160,9160,Male,169,33.29,FAM24,C17742,8544,8417,,
Lung_9161,9161,Male,197,35.1,FAM24,C17742,8544,8417,,
Lung_9175,9175,Female,202,29.9,FAM25,C17748,8449,8823,,
Lung_9183,9183,Female,202,41.62,FAM26,C17752,8461,9181,,
Lung_9184,9184,Female,202,34.14,FAM26,C17752,8461,9181,,
Lung_9185,9185,Male,169,38.13,FAM26,C17752,8461,9181,,
Lung_9186,9186,Male,162,34.73,FAM26,C17752,8461,9181,,
Lung_9187,9187,Male,197,38.58,FAM26,C17752,8461,9181,,
Lung_9189,9189,Female,194,31.23,FAM27,C17759,8483,8807,,
Lung_9190,9190,Female,194,30.36,FAM27,C17759,8483,8807,,
Lung_9191,9191,Female,200,32.75,FAM27,C17759,8483,8807,,
Lung_9193,9193,Male,201,25.84,FAM27,C17759,8483,8807,,
Lung_9205,9205,Male,195,41.55,FAM27,C17759,8483,8807,,
Lung_9207,9207,Male,167,38.28,FAM27,C17759,8483,8807,,
Lung_9208,9208,Female,90,28.15,FAM28,C17765,8613,8801,,
Lung_9209,9209,Female,90,29.18,FAM28,C17765,8613,8801,,
Lung_9210,9210,Female,90,30.81,FAM28,C17765,8613,8801,,
Lung_9211,9211,Female,90,26.98,FAM28,C17765,8613,8801,,
Lung_9212,9212,Female,200,29.95,FAM29,C17770,8491,8782,,
Lung_9214,9214,Female,199,35.59,FAM29,C17770,8491,8782,,
Lung_9215,9215,Female,166,32.24,FAM29,C17770,8491,8782,,
Lung_9216,9216,Female,166,33.76,FAM29,C17770,8491,8782,,
Lung_9229,9229,Male,200,54.12,FAM29,C17770,8491,8782,,
Lung_9230,9230,Male,200,38.49,FAM29,C17770,8491,8782,,
Lung_9231,9231,Female,202,31.76,FAM30,C17783,8502,8763,,
Lung_9232,9232,Female,202,33.91,FAM30,C17783,8502,8763,,
Lung_9233,9233,Female,199,25.32,FAM30,C17783,8502,8763,,
Lung_9234,9234,Female,166,22.44,FAM30,C17783,8502,8763,,
Lung_9235,9235,Female,166,25.47,FAM30,C17783,8502,8763,,
Lung_9249,9249,Male,175,34.25,FAM30,C17783,8502,8763,,
Lung_9250,9250,Male,203,27.38,FAM31,C17783,8502,8763,,
Lung_9255,9255,Female,200,31.83,FAM31,C17789,8830,8755,,
Lung_9256,9256,Female,200,30.94,FAM31,C17789,8830,8755,,
Lung_9260,9260,Male,201,34.17,FAM31,C17789,8830,8755,,
Lung_9262,9262,Female,199,29.55,FAM32,C17793,8519,8735,,
Lung_9264,9264,Male,166,46.23,FAM32,C17793,8519,8735,,
Lung_9271,9271,Female,203,31.79,FAM33,C17798,8244,8697,,
Lung_9272,9272,Female,203,35.52,FAM33,C17798,8244,8697,,
Lung_9273,9273,Female,167,30.97,FAM33,C17798,8244,8697,,
Lung_9274,9274,Female,200,24.13,FAM33,C17798,8244,8697,,
Lung_9275,9275,Female,167,24.04,FAM33,C17798,8244,8697,,
Lung_9281,9281,Male,162,35.7,FAM33,C17798,8244,8697,,
Lung_9282,9282,Male,175,30.89,FAM33,C17798,8244,8697,,
Lung_9283,9283,Male,176,29.06,FAM33,C17798,8244,8697,,
Lung_9284,9284,Female,200,30.1,FAM34,C17804,8250,8678,,
Lung_9285,9285,Female,200,31.05,FAM34,C17804,8250,8678,,
Lung_9287,9287,Male,173,32.92,FAM34,C17804,8250,8678,,
Lung_9300,9300,Female,200,37.63,FAM35,C17808,8260,8661,,
Lung_9301,9301,Female,200,36.16,FAM35,C17808,8260,8661,,
Lung_9302,9302,Female,173,26.2,FAM35,C17808,8260,8661,,
Lung_9303,9303,Female,165,29.97,FAM35,C17808,8260,8661,,
Lung_9304,9304,Female,165,31.92,FAM35,C17808,8260,8661,,
Lung_9318,9318,Male,159,31.39,FAM35,C17808,8260,8661,,
Lung_9319,9319,Male,200,42.34,FAM35,C17813,8260,8661,,
Lung_9321,9321,Female,194,43.49,FAM36,C17813,8303,8628,,
Lung_9322,9322,Female,165,33.35,FAM36,C17813,8303,8628,,
Lung_9323,9323,Female,165,28.93,FAM36,C17813,8303,8628,,
Lung_9324,9324,Female,173,29.44,FAM36,C17813,8303,8628,,
Lung_9336,9336,Male,173,36.61,FAM36,C17813,8303,8628,,
Lung_9337,9337,Male,165,41.05,FAM36,C17813,8303,8628,,
Lung_9338,9338,Male,159,37.41,FAM36,C17813,8303,8628,,
Lung_9339,9339,Female,202,29.25,FAM37,C17819,8325,8846,,
Lung_9340,9340,Female,202,32.35,FAM37,C17819,8325,8846,,
Lung_9341,9341,Female,167,27.03,FAM37,C17819,8325,8846,,
Lung_9342,9342,Female,167,30.94,FAM37,C17819,8325,8846,,
Lung_9343,9343,Female,175,45.76,FAM37,C17819,8325,8846,,
Lung_9345,9345,Male,203,39.64,FAM37,C17819,8325,8846,,
Lung_9346,9346,Male,167,45.03,FAM37,C17819,8325,8846,,
Lung_9354,9354,Male,161,36.67,FAM38,C17828,8283,8646,,
Lung_9355,9355,Female,165,31.2,FAM38,C17828,8283,8646,,
Lung_9356,9356,Female,165,29.51,FAM38,C17828,8283,8646,,
Lung_9357,9357,Female,173,30.22,FAM38,C17828,8283,8646,,
Lung_9359,9359,Male,173,39.21,FAM38,C17828,8283,8646,,
Lung_9360,9360,Male,173,42.86,FAM38,C17828,8283,8646,,
Lung_9365,9365,Female,200,35.22,FAM39,C17823,8330,8621,,
Lung_9366,9366,Female,167,29.28,FAM39,C17823,8330,8621,,
Lung_9367,9367,Female,167,28.61,FAM39,C17823,8330,8621,,
Lung_9368,9368,Female,175,31.02,FAM39,C17823,8330,8621,,
Lung_9375,9375,Male,175,31.02,FAM39,C17823,8330,8621,,
Lung_9376,9376,Male,173,35.08,FAM39,C17823,8330,8621,,
Lung_9380,9380,Female,203,39.74,FAM40,C17835,8355,8840,,
Lung_9381,9381,Female,203,35.04,FAM40,C17835,8355,8840,,
Lung_9388,9388,Male,168,49.76,FAM41,C17840,8387,8610,,
Lung_9389,9389,Male,154,40.8,FAM41,C17840,8387,8610,,
Lung_9390,9390,Female,200,40.73,FAM42,C17844,8390,8597,,
Lung_9391,9391,Female,200,30.8,FAM42,C17844,8390,8597,,
Lung_9392,9392,Male,203,28.05,FAM42,C17844,8390,8597,,
Lung_9393,9393,Female,203,35.34,FAM42,C17844,8390,8597,,
Lung_9394,9394,Female,203,33.66,FAM42,C17844,8390,8597,,
Lung_9405,9405,Male,175,34.33,FAM42,C17844,8390,8597,,
Lung_9406,9406,Male,167,34.67,FAM42,C17844,8390,8597,,
Lung_9407,9407,Male,161,31.41,FAM42,C17844,8390,8597,,
Lung_9408,9408,Female,186,30.16,FAM43,C17848,8404,8582,,
Lung_9409,9409,Female,186,35.57,FAM43,C17848,8404,8582,,
Lung_9412,9412,Female,193,26.74,FAM43,C17848,8404,8582,,
Lung_9416,9416,Male,151,38.05,FAM43,C17848,8404,8582,,
Lung_9417,9417,Male,165,34.11,FAM43,C17848,8404,8582,,
Lung_9429,9429,Female,190,36.85,FAM44,C17851,8501,8567,,
Lung_9430,9430,Female,190,39.22,FAM44,C17851,8501,8567,,
Lung_9432,9432,Female,133,26.01,FAM45,C17853,8412,8553,,
Lung_9433,9433,Female,133,28.22,FAM45,C17853,8412,8553,,
Lung_9436,9436,Female,183,34.3,FAM46,C17855,8436,8835,,
Lung_9437,9437,Female,169,26.51,FAM46,C17855,8436,8835,,
Lung_9438,9438,Male,161,30.07,FAM46,C17855,8436,8835,,
Lung_9439,9439,Female,196,26.39,FAM47,C17861,8441,8541,,
Lung_9440,9440,Female,196,32.91,FAM47,C17861,8441,8541,,
Lung_9441,9441,Female,203,29.19,FAM47,C17861,8441,8541,,
Lung_9442,9442,Male,167,30.88,FAM47,C17861,8441,8541,,
Lung_9443,9443,Male,161,34.31,FAM47,C17861,8441,8541,,
Lung_9444,9444,Male,175,37.11,FAM47,C17861,8441,8541,,
Lung_9462,9462,Female,196,34.15,FAM48,C17867,G14-574M,8258,,
Lung_9464,9464,Female,191,45.51,FAM48,C17867,G14-574M,8258,,
Lung_9465,9465,Female,191,39.4,FAM48,C17867,G14-574M,8258,,
Lung_9466,9466,Male,191,45.07,FAM48,C17867,G14-574M,8258,,
Lung_9471,9471,Female,194,34.79,FAM49,C17871,8273,G14-574F,,
Lung_9472,9472,Female,194,34.45,FAM49,C17871,8273,G14-574F,,
Lung_9473,9473,Female,173,34.69,FAM49,C17871,8273,G14-574F,,
Lung_9474,9474,Female,165,32.22,FAM49,C17871,8273,G14-574F,,
Lung_9475,9475,Female,165,30.29,FAM49,C17871,8273,G14-574F,,
Lung_9480,9480,Male,165,39.67,FAM49,C17871,8273,G14-574F,,
Lung_9482,9482,Male,173,36.2,FAM49,C17871,8273,G14-574F,,